Universe	Total population
PCT075I053	10	18 to 24 years
PCT075I054	10	25 to 34 years
PCT075I055	10	35 to 44 years
PCT075I056	10	45 to 54 years
PCT075I057	10	55 to 64 years
PCT075I058	10	65 to 74 years
PCT075I059	10	75 years and over
Universe	Related children under 18 years who are White alone
PCT076A001	0	Total:
PCT076A002	6	Income in 1999 below poverty level:
PCT076A003	8	In married-couple family:
PCT076A004	10	Under 5 years
PCT076A005	10	5 years
PCT076A006	10	6 to 17 years
PCT076A007	8	In other family:
PCT076A008	10	Male householder, no wife present:
PCT076A009	12	Under 5 years
PCT076A010	12	5 years
PCT076A011	12	6 to 17 years
PCT076A012	10	Female householder, no husband present:
PCT076A013	12	Under 5 years
PCT076A014	12	5 years
PCT076A015	12	6 to 17 years
PCT076A016	6	Income in 1999 at or above poverty level:
PCT076A017	8	In married-couple family:
PCT076A018	10	Under 5 years
PCT076A019	10	5 years
PCT076A020	10	6 to 17 years
PCT076A021	8	In other family:
PCT076A022	10	Male householder, no wife present:
PCT076A023	12	Under 5 years
PCT076A024	12	5 years
PCT076A025	12	6 to 17 years
PCT076A026	10	Female householder, no husband present:
PCT076A027	12	Under 5 years
PCT076A028	12	5 years
PCT076A029	12	6 to 17 years
Universe	Related children under 18 years who are Black or African American alone
PCT076B001	0	Total:
PCT076B002	6	Income in 1999 below poverty level:
PCT076B003	8	In married-couple family:
PCT076B004	10	Under 5 years
PCT076B005	10	5 years
PCT076B006	10	6 to 17 years
PCT076B007	8	In other family:
PCT076B008	10	Male householder, no wife present:
PCT076B009	12	Under 5 years
PCT076B010	12	5 years
PCT076B011	12	6 to 17 years
PCT076B012	10	Female householder, no husband present:
PCT076B013	12	Under 5 years
PCT076B014	12	5 years
PCT076B015	12	6 to 17 years
PCT076B016	6	Income in 1999 at or above poverty level:
PCT076B017	8	In married-couple family:
PCT076B018	10	Under 5 years
PCT076B019	10	5 years
PCT076B020	10	6 to 17 years
PCT076B021	8	In other family:
PCT076B022	10	Male householder, no wife present:
PCT076B023	12	Under 5 years
PCT076B024	12	5 years
PCT076B025	12	6 to 17 years
PCT076B026	10	Female householder, no husband present:
PCT076B027	12	Under 5 years
PCT076B028	12	5 years
PCT076B029	12	6 to 17 years
Universe	Related children under 18 years who are American Indian and Alaska Native alone
PCT076C001	0	Total:
PCT076C002	6	Income in 1999 below poverty level:
PCT076C003	8	In married-couple family:
PCT076C004	10	Under 5 years
PCT076C005	10	5 years
PCT076C006	10	6 to 17 years
PCT076C007	8	In other family:
PCT076C008	10	Male householder, no wife present:
PCT076C009	12	Under 5 years
PCT076C010	12	5 years
PCT076C011	12	6 to 17 years
PCT076C012	10	Female householder, no husband present:
PCT076C013	12	Under 5 years
PCT076C014	12	5 years
PCT076C015	12	6 to 17 years
PCT076C016	6	Income in 1999 at or above poverty level:
PCT076C017	8	In married-couple family:
PCT076C018	10	Under 5 years
PCT076C019	10	5 years
PCT076C020	10	6 to 17 years
PCT076C021	8	In other family:
PCT076C022	10	Male householder, no wife present:
PCT076C023	12	Under 5 years
PCT076C024	12	5 years
PCT076C025	12	6 to 17 years
PCT076C026	10	Female householder, no husband present:
PCT076C027	12	Under 5 years
PCT076C028	12	5 years
PCT076C029	12	6 to 17 years
Universe	Related children under 18 years who are Asian alone
PCT076D001	0	Total:
PCT076D002	6	Income in 1999 below poverty level:
PCT076D003	8	In married-couple family:
PCT076D004	10	Under 5 years
PCT076D005	10	5 years
PCT076D006	10	6 to 17 years
PCT076D007	8	In other family:
PCT076D008	10	Male householder, no wife present:
PCT076D009	12	Under 5 years
PCT076D010	12	5 years
PCT076D011	12	6 to 17 years
PCT076D012	10	Female householder, no husband present:
PCT076D013	12	Under 5 years
PCT076D014	12	5 years
PCT076D015	12	6 to 17 years
PCT076D016	6	Income in 1999 at or above poverty level:
PCT076D017	8	In married-couple family:
PCT076D018	10	Under 5 years
PCT076D019	10	5 years
PCT076D020	10	6 to 17 years
PCT076D021	8	In other family:
PCT076D022	10	Male householder, no wife present:
PCT076D023	12	Under 5 years
PCT076D024	12	5 years
PCT076D025	12	6 to 17 years
PCT076D026	10	Female householder, no husband present:
PCT076D027	12	Under 5 years
PCT076D028	12	5 years
PCT076D029	12	6 to 17 years
Universe	Related children under 18 years who are Native Hawaiian and Other Pacific Islander alone
PCT076E001	0	Total:
PCT076E002	6	Income in 1999 below poverty level:
PCT076E003	8	In married-couple family:
PCT076E004	10	Under 5 years
PCT076E005	10	5 years
PCT076E006	10	6 to 17 years
PCT076E007	8	In other family:
PCT076E008	10	Male householder, no wife present:
PCT076E009	12	Under 5 years
PCT076E010	12	5 years
PCT076E011	12	6 to 17 years
PCT076E012	10	Female householder, no husband present:
PCT076E013	12	Under 5 years
PCT076E014	12	5 years
PCT076E015	12	6 to 17 years
PCT076E016	6	Income in 1999 at or above poverty level:
PCT076E017	8	In married-couple family:
PCT076E018	10	Under 5 years
PCT076E019	10	5 years
PCT076E020	10	6 to 17 years
PCT076E021	8	In other family:
PCT076E022	10	Male householder, no wife present:
PCT076E023	12	Under 5 years
PCT076E024	12	5 years
PCT076E025	12	6 to 17 years
PCT076E026	10	Female householder, no husband present:
PCT076E027	12	Under 5 years
PCT076E028	12	5 years
PCT076E029	12	6 to 17 years
Universe	Related children under 18 years who are Some other race alone
PCT076F001	0	Total:
PCT076F002	6	Income in 1999 below poverty level:
PCT076F003	8	In married-couple family:
PCT076F004	10	Under 5 years
PCT076F005	10	5 years
PCT076F006	10	6 to 17 years
PCT076F007	8	In other family:
PCT076F008	10	Male householder, no wife present:
PCT076F009	12	Under 5 years
PCT076F010	12	5 years
PCT076F011	12	6 to 17 years
PCT076F012	10	Female householder, no husband present:
PCT076F013	12	Under 5 years
PCT076F014	12	5 years
PCT076F015	12	6 to 17 years
PCT076F016	6	Income in 1999 at or above poverty level:
PCT076F017	8	In married-couple family:
PCT076F018	10	Under 5 years
PCT076F019	10	5 years
PCT076F020	10	6 to 17 years
PCT076F021	8	In other family:
PCT076F022	10	Male householder, no wife present:
PCT076F023	12	Under 5 years
PCT076F024	12	5 years
PCT076F025	12	6 to 17 years
PCT076F026	10	Female householder, no husband present:
PCT076F027	12	Under 5 years
PCT076F028	12	5 years
PCT076F029	12	6 to 17 years
Universe	Related children under 18 years who are Two or more races
PCT076G001	0	Total:
PCT076G002	6	Income in 1999 below poverty level:
PCT076G003	8	In married-couple family:
PCT076G004	10	Under 5 years
PCT076G005	10	5 years
PCT076G006	10	6 to 17 years
PCT076G007	8	In other family:
PCT076G008	10	Male householder, no wife present:
PCT076G009	12	Under 5 years
PCT076G010	12	5 years
PCT076G011	12	6 to 17 years
PCT076G012	10	Female householder, no husband present:
PCT076G013	12	Under 5 years
PCT076G014	12	5 years
PCT076G015	12	6 to 17 years
PCT076G016	6	Income in 1999 at or above poverty level:
PCT076G017	8	In married-couple family:
PCT076G018	10	Under 5 years
PCT076G019	10	5 years
PCT076G020	10	6 to 17 years
PCT076G021	8	In other family:
PCT076G022	10	Male householder, no wife present:
PCT076G023	12	Under 5 years
PCT076G024	12	5 years
PCT076G025	12	6 to 17 years
PCT076G026	10	Female householder, no husband present:
PCT076G027	12	Under 5 years
PCT076G028	12	5 years
PCT076G029	12	6 to 17 years
Universe	Related children under 18 years who are Hispanic or Latino
PCT076H001	0	Total:
PCT076H002	6	Income in 1999 below poverty level:
PCT076H003	8	In married-couple family:
PCT076H004	10	Under 5 years
PCT076H005	10	5 years
PCT076H006	10	6 to 17 years
PCT076H007	8	In other family:
PCT076H008	10	Male householder, no wife present:
PCT076H009	12	Under 5 years
PCT076H010	12	5 years
PCT076H011	12	6 to 17 years
PCT076H012	10	Female householder, no husband present:
PCT076H013	12	Under 5 years
PCT076H014	12	5 years
PCT076H015	12	6 to 17 years
PCT076H016	6	Income in 1999 at or above poverty level:
PCT076H017	8	In married-couple family:
PCT076H018	10	Under 5 years
PCT076H019	10	5 years
PCT076H020	10	6 to 17 years
PCT076H021	8	In other family:
PCT076H022	10	Male householder, no wife present:
PCT076H023	12	Under 5 years
PCT076H024	12	5 years
PCT076H025	12	6 to 17 years
PCT076H026	10	Female householder, no husband present:
PCT076H027	12	Under 5 years
PCT076H028	12	5 years
PCT076H029	12	6 to 17 years
Universe	Related children under 18 years who are White alone, not Hispanic or Latino
PCT076I001	0	Total:
PCT076I002	6	Income in 1999 below poverty level:
PCT076I003	8	In married-couple family:
PCT076I004	10	Under 5 years
PCT076I005	10	5 years
PCT076I006	10	6 to 17 years
PCT076I007	8	In other family:
PCT076I008	10	Male householder, no wife present:
PCT076I009	12	Under 5 years
PCT076I010	12	5 years
PCT076I011	12	6 to 17 years
PCT076I012	10	Female householder, no husband present:
PCT076I013	12	Under 5 years
PCT076I014	12	5 years
PCT076I015	12	6 to 17 years
PCT076I016	6	Income in 1999 at or above poverty level:
PCT076I017	8	In married-couple family:
PCT076I018	10	Under 5 years
PCT076I019	10	5 years
PCT076I020	10	6 to 17 years
PCT076I021	8	In other family:
PCT076I022	10	Male householder, no wife present:
PCT076I023	12	Under 5 years
PCT076I024	12	5 years
PCT076I025	12	6 to 17 years
PCT076I026	10	Female householder, no husband present:
PCT076I027	12	Under 5 years
PCT076I028	12	5 years
PCT076I029	12	6 to 17 years
Universe	Housing units
H001001	0	Total
Universe	Housing units
H002001	0	Total:
H002002	6	Occupied
H002003	6	Vacant
Universe	Housing units
H003001	0	Total
Universe	Housing units
H004001	0	Percent of occupied housing units in sample
H004002	0	Percent of vacant housing units in sample
Universe	Housing units
H005001	0	Total:
H005002	6	Urban:
H005003	8	Inside urbanized areas
H005004	8	Inside urban clusters
H005005	6	Rural:
H005006	8	Farm
H005007	8	Nonfarm
Universe	Housing units
H006001	0	Total:
H006002	6	Occupied
H006003	6	Vacant
Universe	Occupied housing units
H007001	0	Total:
H007002	6	Owner occupied
H007003	6	Renter occupied
Universe	Vacant housing units
H008001	0	Total:
H008002	6	For rent
H008003	6	For sale only
H008004	6	Rented or sold, not occupied
H008005	6	For seasonal, recreational, or occasional use
H008006	6	For migrant workers
H008007	6	Other vacant
Universe	Occupied housing units
H009001	0	Total:
H009002	6	Householder who is White alone
H009003	6	Householder who is Black or African American alone
H009004	6	Householder who is American Indian and Alaska Native alone
H009005	6	Householder who is Asian alone
H009006	6	Householder who is Native Hawaiian and Other Pacific Islander alone
H009007	6	Householder who is Some other race alone
H009008	6	Householder who is Two or more races
Universe	Occupied housing units
H010001	0	Total:
H010002	6	Not Hispanic or Latino householder:
H010003	8	Householder who is White alone
H010004	8	Householder who is Black or African American alone
H010005	8	Householder who is American Indian and Alaska Native alone
H010006	8	Householder who is Asian alone
H010007	8	Householder who is Native Hawaiian and Other Pacific Islander alone
H010008	8	Householder who is Some other race alone
H010009	8	Householder who is Two or more races
H010010	6	Hispanic or Latino householder:
H010011	8	Householder who is White alone
H010012	8	Householder who is Black or African American alone
H010013	8	Householder who is American Indian and Alaska Native alone
H010014	8	Householder who is Asian alone
H010015	8	Householder who is Native Hawaiian and Other Pacific Islander alone
H010016	8	Householder who is Some other race alone
H010017	8	Householder who is Two or more races
Universe	Occupied housing units
H011001	0	Total:
H011002	6	Owner occupied:
H011003	8	Householder who is White alone
H011004	8	Householder who is Black or African American alone
H011005	8	Householder who is American Indian and Alaska Native alone
H011006	8	Householder who is Asian alone
H011007	8	Householder who is Native Hawaiian and Other Pacific Islander alone
H011008	8	Householder who is Some other race alone
H011009	8	Householder who is Two or more races
H011010	6	Renter occupied:
H011011	8	Householder who is White alone
H011012	8	Householder who is Black or African American alone
H011013	8	Householder who is American Indian and Alaska Native alone
H011014	8	Householder who is Asian alone
H011015	8	Householder who is Native Hawaiian and Other Pacific Islander alone
H011016	8	Householder who is Some other race alone
H011017	8	Householder who is Two or more races
Universe	Occupied housing units with a householder who is Hispanic or Latino
H012001	0	Total:
H012002	6	Owner occupied
H012003	6	Renter occupied
Universe	Occupied housing units with a householder who is White alone, not Hispanic or Latino
H013001	0	Total:
H013002	6	Owner occupied
H013003	6	Renter occupied
Universe	Occupied housing units
H014001	0	Total:
H014002	6	Owner occupied:
H014003	8	Householder 15 to 24 years
H014004	8	Householder 25 to 34 years
H014005	8	Householder 35 to 44 years
H014006	8	Householder 45 to 54 years
H014007	8	Householder 55 to 59 years
H014008	8	Householder 60 to 64 years
H014009	8	Householder 65 to 74 years
H014010	8	Householder 75 to 84 years
H014011	8	Householder 85 years and over
H014012	6	Renter occupied:
H014013	8	Householder 15 to 24 years
H014014	8	Householder 25 to 34 years
H014015	8	Householder 35 to 44 years
H014016	8	Householder 45 to 54 years
H014017	8	Householder 55 to 59 years
H014018	8	Householder 60 to 64 years
H014019	8	Householder 65 to 74 years
H014020	8	Householder 75 to 84 years
H014021	8	Householder 85 years and over
Universe	Population in occupied housing units
H015001	0	Total population in occupied housing units:
H015002	6	Owner occupied
H015003	6	Renter occupied
Universe	Occupied housing units
H016001	0	Total:
H016002	6	1-person household
H016003	6	2-person household
H016004	6	3-person household
H016005	6	4-person household
H016006	6	5-person household
H016007	6	6-person household
H016008	6	7-or-more-person household
Universe	Occupied housing units
H017001	0	Total:
H017002	6	Owner occupied:
H017003	8	1-person household
H017004	8	2-person household
H017005	8	3-person household
H017006	8	4-person household
H017007	8	5-person household
H017008	8	6-person household
H017009	8	7-or-more-person household
H017010	6	Renter occupied:
H017011	8	1-person household
H017012	8	2-person household
H017013	8	3-person household
H017014	8	4-person household
H017015	8	5-person household
H017016	8	6-person household
H017017	8	7-or-more-person household
Universe	Occupied housing units
H018001	6	Total
H018002	6	Owner occupied
H018003	6	Renter occupied
Universe	Occupied housing units
H019001	0	Total:
H019002	6	Owner occupied:
H019003	8	Family households:
H019004	10	Married-couple family:
H019005	12	Householder 15 to 24 years
H019006	12	Householder 25 to 34 years
H019007	12	Householder 35 to 44 years
H019008	12	Householder 45 to 54 years
H019009	12	Householder 55 to 64 years
H019010	12	Householder 65 to 74 years
H019011	12	Householder 75 years and over
H019012	10	Other family:
H019013	12	Male householder, no wife present:
H019014	14	Householder 15 to 24 years
H019015	14	Householder 25 to 34 years
H019016	14	Householder 35 to 44 years
H019017	14	Householder 45 to 54 years
H019018	14	Householder 55 to 64 years
H019019	14	Householder 65 to 74 years
H019020	14	Householder 75 years and over
H019021	12	Female householder, no husband present:
H019022	14	Householder 15 to 24 years
H019023	14	Householder 25 to 34 years
H019024	14	Householder 35 to 44 years
H019025	14	Householder 45 to 54 years
H019026	14	Householder 55 to 64 years
H019027	14	Householder 65 to 74 years
H019028	14	Householder 75 years and over
H019029	8	Nonfamily households:
H019030	10	Male householder:
H019031	12	Living alone:
H019032	14	Householder 15 to 24 years
H019033	14	Householder 25 to 34 years
H019034	14	Householder 35 to 44 years
H019035	14	Householder 45 to 54 years
H019036	14	Householder 55 to 64 years
H019037	14	Householder 65 to 74 years
H019038	14	Householder 75 years and over
H019039	12	Not living alone:
H019040	14	Householder 15 to 24 years
H019041	14	Householder 25 to 34 years
H019042	14	Householder 35 to 44 years
H019043	14	Householder 45 to 54 years
H019044	14	Householder 55 to 64 years
H019045	14	Householder 65 to 74 years
H019046	14	Householder 75 years and over
H019047	10	Female householder:
H019048	12	Living alone:
H019049	14	Householder 15 to 24 years
H019050	14	Householder 25 to 34 years
H019051	14	Householder 35 to 44 years
H019052	14	Householder 45 to 54 years
H019053	14	Householder 55 to 64 years
H019054	14	Householder 65 to 74 years
H019055	14	Householder 75 years and over
H019056	12	Not living alone:
H019057	14	Householder 15 to 24 years
H019058	14	Householder 25 to 34 years
H019059	14	Householder 35 to 44 years
H019060	14	Householder 45 to 54 years
H019061	14	Householder 55 to 64 years
H019062	14	Householder 65 to 74 years
H019063	14	Householder 75 years and over
H019064	6	Renter occupied:
H019065	8	Family households:
H019066	10	Married-couple family:
H019067	12	Householder 15 to 24 years
H019068	12	Householder 25 to 34 years
H019069	12	Householder 35 to 44 years
H019070	12	Householder 45 to 54 years
H019071	12	Householder 55 to 64 years
H019072	12	Householder 65 to 74 years
H019073	12	Householder 75 years and over
H019074	10	Other family:
H019075	12	Male householder, no wife present:
H019076	14	Householder 15 to 24 years
H019077	14	Householder 25 to 34 years
H019078	14	Householder 35 to 44 years
H019079	14	Householder 45 to 54 years
H019080	14	Householder 55 to 64 years
H019081	14	Householder 65 to 74 years
H019082	14	Householder 75 years and over
H019083	12	Female householder, no husband present:
H019084	14	Householder 15 to 24 years
H019085	14	Householder 25 to 34 years
H019086	14	Householder 35 to 44 years
H019087	14	Householder 45 to 54 years
H019088	14	Householder 55 to 64 years
H019089	14	Householder 65 to 74 years
H019090	14	Householder 75 years and over
H019091	8	Nonfamily households:
H019092	10	Male householder:
H019093	12	Living alone:
H019094	14	Householder 15 to 24 years
H019095	14	Householder 25 to 34 years
H019096	14	Householder 35 to 44 years
H019097	14	Householder 45 to 54 years
H019098	14	Householder 55 to 64 years
H019099	14	Householder 65 to 74 years
H019100	14	Householder 75 years and over
H019101	12	Not living alone:
H019102	14	Householder 15 to 24 years
H019103	14	Householder 25 to 34 years
H019104	14	Householder 35 to 44 years
H019105	14	Householder 45 to 54 years
H019106	14	Householder 55 to 64 years
H019107	14	Householder 65 to 74 years
H019108	14	Householder 75 years and over
H019109	10	Female householder:
H019110	12	Living alone:
H019111	14	Householder 15 to 24 years
H019112	14	Householder 25 to 34 years
H019113	14	Householder 35 to 44 years
H019114	14	Householder 45 to 54 years
H019115	14	Householder 55 to 64 years
H019116	14	Householder 65 to 74 years
H019117	14	Householder 75 years and over
H019118	12	Not living alone:
H019119	14	Householder 15 to 24 years
H019120	14	Householder 25 to 34 years
H019121	14	Householder 35 to 44 years
H019122	14	Householder 45 to 54 years
H019123	14	Householder 55 to 64 years
H019124	14	Householder 65 to 74 years
H019125	14	Householder 75 years and over
Universe	Occupied housing units
H020001	0	Total:
H020002	6	Owner occupied:
H020003	8	0.50 or less occupants per room
H020004	8	0.51 to 1.00 occupants per room
H020005	8	1.01 to 1.50 occupants per room
H020006	8	1.51 to 2.00 occupants per room
H020007	8	2.01 or more occupants per room
H020008	6	Renter occupied:
H020009	8	0.50 or less occupants per room
H020010	8	0.51 to 1.00 occupants per room
H020011	8	1.01 to 1.50 occupants per room
H020012	8	1.51 to 2.00 occupants per room
H020013	8	2.01 or more occupants per room
Universe	Occupied housing units
H021001	0	Total:
H021002	6	Owner occupied:
H021003	8	Householder 15 to 24 years:
H021004	10	1.00 or less occupants per room
H021005	10	1.01 to 1.50 occupants per room
H021006	10	1.51 or more occupants per room
H021007	8	Householder 25 to 34 years:
H021008	10	1.00 or less occupants per room
H021009	10	1.01 to 1.50 occupants per room
H021010	10	1.51 or more occupants per room
H021011	8	Householder 35 to 44 years:
H021012	10	1.00 or less occupants per room
H021013	10	1.01 to 1.50 occupants per room
H021014	10	1.51 or more occupants per room
H021015	8	Householder 45 to 54 years:
H021016	10	1.00 or less occupants per room
H021017	10	1.01 to 1.50 occupants per room
H021018	10	1.51 or more occupants per room
H021019	8	Householder 55 to 64 years:
H021020	10	1.00 or less occupants per room
H021021	10	1.01 to 1.50 occupants per room
H021022	10	1.51 or more occupants per room
H021023	8	Householder 65 to 74 years:
H021024	10	1.00 or less occupants per room
H021025	10	1.01 to 1.50 occupants per room
H021026	10	1.51 or more occupants per room
H021027	8	Householder 75 years and over:
H021028	10	1.00 or less occupants per room
H021029	10	1.01 to 1.50 occupants per room
H021030	10	1.51 or more occupants per room
H021031	6	Renter occupied:
H021032	8	Householder 15 to 24 years:
H021033	10	1.00 or less occupants per room
H021034	10	1.01 to 1.50 occupants per room
H021035	10	1.51 or more occupants per room
H021036	8	Householder 25 to 34 years:
H021037	10	1.00 or less occupants per room
H021038	10	1.01 to 1.50 occupants per room
H021039	10	1.51 or more occupants per room
H021040	8	Householder 35 to 44 years:
H021041	10	1.00 or less occupants per room
H021042	10	1.01 to 1.50 occupants per room
H021043	10	1.51 or more occupants per room
H021044	8	Householder 45 to 54 years:
H021045	10	1.00 or less occupants per room
H021046	10	1.01 to 1.50 occupants per room
H021047	10	1.51 or more occupants per room
H021048	8	Householder 55 to 64 years:
H021049	10	1.00 or less occupants per room
H021050	10	1.01 to 1.50 occupants per room
H021051	10	1.51 or more occupants per room
H021052	8	Householder 65 to 74 years:
H021053	10	1.00 or less occupants per room
H021054	10	1.01 to 1.50 occupants per room
H021055	10	1.51 or more occupants per room
H021056	8	Householder 75 years and over:
H021057	10	1.00 or less occupants per room
H021058	10	1.01 to 1.50 occupants per room
H021059	10	1.51 or more occupants per room
Universe	Occupied housing units
H022001	0	Total:
H022002	6	Owner occupied:
H022003	8	Complete plumbing facilities:
H022004	10	1.00 or less occupants per room
H022005	10	1.01 to 1.50 occupants per room
H022006	10	1.51 or more occupants per room
H022007	8	Lacking complete plumbing facilities:
H022008	10	1.00 or less occupants per room
H022009	10	1.01 to 1.50 occupants per room
H022010	10	1.51 or more occupants per room
H022011	6	Renter occupied:
H022012	8	Complete plumbing facilities:
H022013	10	1.00 or less occupants per room
H022014	10	1.01 to 1.50 occupants per room
H022015	10	1.51 or more occupants per room
H022016	8	Lacking complete plumbing facilities:
H022017	10	1.00 or less occupants per room
H022018	10	1.01 to 1.50 occupants per room
H022019	10	1.51 or more occupants per room
Universe	Housing units
H023001	0	Total:
H023002	6	1 room
H023003	6	2 rooms
H023004	6	3 rooms
H023005	6	4 rooms
H023006	6	5 rooms
H023007	6	6 rooms
H023008	6	7 rooms
H023009	6	8 rooms
H023010	6	9 or more rooms
Universe	Housing units
H024001	0	Median number of rooms
Universe	Housing units
H025001	0	Aggregate number of rooms
Universe	Occupied housing units
H026001	0	Total:
H026002	6	Owner occupied:
H026003	8	1 room
H026004	8	2 rooms
H026005	8	3 rooms
H026006	8	4 rooms
H026007	8	5 rooms
H026008	8	6 rooms
H026009	8	7 rooms
H026010	8	8 rooms
H026011	8	9 or more rooms
H026012	6	Renter occupied:
H026013	8	1 room
H026014	8	2 rooms
H026015	8	3 rooms
H026016	8	4 rooms
H026017	8	5 rooms
H026018	8	6 rooms
H026019	8	7 rooms
H026020	8	8 rooms
H026021	8	9 or more rooms
Universe	Occupied housing units
H027001	6	Total
H027002	6	Owner occupied
H027003	6	Renter occupied
Universe	Occupied housing units
H028001	0	Aggregate number of rooms:
H028002	6	Owner occupied
H028003	6	Renter occupied
Universe	Vacant housing units
H029001	0	Aggregate number of rooms:
H029002	6	For rent
H029003	6	For sale only
H029004	6	Rented or sold, not occupied
H029005	6	For seasonal, recreational, or occasional use
H029006	6	For migrant workers
H029007	6	Other vacant
Universe	Housing units
H030001	0	Total:
H030002	6	1, detached
H030003	6	1, attached
H030004	6	2
H030005	6	3 or 4
H030006	6	5 to 9
H030007	6	10 to 19
H030008	6	20 to 49
H030009	6	50 or more
H030010	6	Mobile home
H030011	6	Boat, RV, van, etc.
Universe	Vacant housing units
H031001	0	Total:
H031002	6	1, detached
H031003	6	1, attached
H031004	6	2
H031005	6	3 or 4
H031006	6	5 to 9
H031007	6	10 to 19
H031008	6	20 to 49
H031009	6	50 or more
H031010	6	Mobile home
H031011	6	Boat, RV, van, etc.
Universe	Occupied housing units
H032001	0	Total:
H032002	6	Owner occupied:
H032003	8	1, detached
H032004	8	1, attached
H032005	8	2
H032006	8	3 or 4
H032007	8	5 to 9
H032008	8	10 to 19
H032009	8	20 to 49
H032010	8	50 or more
H032011	8	Mobile home
H032012	8	Boat, RV, van, etc.
H032013	6	Renter occupied:
H032014	8	1, detached
H032015	8	1, attached
H032016	8	2
H032017	8	3 or 4
H032018	8	5 to 9
H032019	8	10 to 19
H032020	8	20 to 49
H032021	8	50 or more
H032022	8	Mobile home
H032023	8	Boat, RV, van, etc.
Universe	Population in occupied housing units
H033001	0	Total population in occupied housing units:
H033002	6	Owner occupied:
H033003	8	1, detached
H033004	8	1, attached
H033005	8	2
H033006	8	3 or 4
H033007	8	5 to 9
H033008	8	10 to 19
H033009	8	20 to 49
H033010	8	50 or more
H033011	8	Mobile home
H033012	8	Boat, RV, van, etc.
H033013	6	Renter occupied:
H033014	8	1, detached
H033015	8	1, attached
H033016	8	2
H033017	8	3 or 4
H033018	8	5 to 9
H033019	8	10 to 19
H033020	8	20 to 49
H033021	8	50 or more
H033022	8	Mobile home
H033023	8	Boat, RV, van, etc.
Universe	Housing units
H034001	0	Total:
H034002	6	Built 1999 to March 2000
H034003	6	Built 1995 to 1998
H034004	6	Built 1990 to 1994
H034005	6	Built 1980 to 1989
H034006	6	Built 1970 to 1979
H034007	6	Built 1960 to 1969
H034008	6	Built 1950 to 1959
H034009	6	Built 1940 to 1949
H034010	6	Built 1939 or earlier
Universe	Housing units
H035001	0	Median year structure built
Universe	Occupied housing units
H036001	0	Total:
H036002	6	Owner occupied:
H036003	8	Built 1999 to March 2000
H036004	8	Built 1995 to 1998
H036005	8	Built 1990 to 1994
H036006	8	Built 1980 to 1989
H036007	8	Built 1970 to 1979
H036008	8	Built 1960 to 1969
H036009	8	Built 1950 to 1959
H036010	8	Built 1940 to 1949
H036011	8	Built 1939 or earlier
H036012	6	Renter occupied:
H036013	8	Built 1999 to March 2000
H036014	8	Built 1995 to 1998
H036015	8	Built 1990 to 1994
H036016	8	Built 1980 to 1989
H036017	8	Built 1970 to 1979
H036018	8	Built 1960 to 1969
H036019	8	Built 1950 to 1959
H036020	8	Built 1940 to 1949
H036021	8	Built 1939 or earlier
Universe	Occupied housing units
H037001	6	Total
H037002	6	Owner occupied
H037003	6	Renter occupied
Universe	Occupied housing units
H038001	0	Total:
H038002	6	Owner occupied:
H038003	8	Moved in 1999 to March 2000
H038004	8	Moved in 1995 to 1998
H038005	8	Moved in 1990 to 1994
H038006	8	Moved in 1980 to 1989
H038007	8	Moved in 1970 to 1979
H038008	8	Moved in 1969 or earlier
H038009	6	Renter occupied:
H038010	8	Moved in 1999 to March 2000
H038011	8	Moved in 1995 to 1998
H038012	8	Moved in 1990 to 1994
H038013	8	Moved in 1980 to 1989
H038014	8	Moved in 1970 to 1979
H038015	8	Moved in 1969 or earlier
Universe	Occupied housing units
H039001	6	Total
H039002	6	Owner occupied
H039003	6	Renter occupied
Universe	Occupied housing units
H040001	0	Total:
H040002	6	Utility gas
H040003	6	Bottled, tank, or LP gas
H040004	6	Electricity
H040005	6	Fuel oil, kerosene, etc.
H040006	6	Coal or coke
H040007	6	Wood
H040008	6	Solar energy
H040009	6	Other fuel
H040010	6	No fuel used
Universe	Housing units
H041001	0	Total:
H041002	6	No bedroom
H041003	6	1 bedroom
H041004	6	2 bedrooms
H041005	6	3 bedrooms
H041006	6	4 bedrooms
H041007	6	5 or more bedrooms
Universe	Occupied housing units
H042001	0	Total:
H042002	6	Owner occupied:
H042003	8	No bedroom
H042004	8	1 bedroom
H042005	8	2 bedrooms
H042006	8	3 bedrooms
H042007	8	4 bedrooms
H042008	8	5 or more bedrooms
H042009	6	Renter occupied:
H042010	8	No bedroom
H042011	8	1 bedroom
H042012	8	2 bedrooms
H042013	8	3 bedrooms
H042014	8	4 bedrooms
H042015	8	5 or more bedrooms
Universe	Occupied housing units
H043001	0	Total:
H043002	6	Owner occupied:
H043003	8	With telephone service available:
H043004	10	Householder 15 to 24 years
H043005	10	Householder 25 to 34 years
H043006	10	Householder 35 to 44 years
H043007	10	Householder 45 to 54 years
H043008	10	Householder 55 to 64 years
H043009	10	Householder 65 to 74 years
H043010	10	Householder 75 years and over
H043011	8	No telephone service available:
H043012	10	Householder 15 to 24 years
H043013	10	Householder 25 to 34 years
H043014	10	Householder 35 to 44 years
H043015	10	Householder 45 to 54 years
H043016	10	Householder 55 to 64 years
H043017	10	Householder 65 to 74 years
H043018	10	Householder 75 years and over
H043019	6	Renter occupied:
H043020	8	With telephone service available:
H043021	10	Householder 15 to 24 years
H043022	10	Householder 25 to 34 years
H043023	10	Householder 35 to 44 years
